frequency_hz,radial_spacing_km,attenuation_db_per_mm,phase_velocity_fraction_c,attenuation_error_db_per_mm,phase_velocity_error_fraction_c,beta_real_rad_per_m,beta_imag_rad_per_m,eigen_residual
264.485677083,5,4.88723982437,0.841876083846,0.00110122769709,0.00181716752148,6.58435368731e-06,-5.62664278275e-07,8.19209708947e-10
274.658203125,5,5.0668332793,0.843522759862,-0.00115260746684,0.00184200037538,6.8242500991e-06,-5.83340738881e-07,7.44120486079e-10
284.830729167,5,5.246510803,0.845106820405,-0.00361987523835,0.00186240305886,7.0637350381e-06,-6.04026878261e-07,6.69443141213e-10
295.003255208,5,5.42634656495,0.846632665284,-0.00625707276249,0.00187865185715,7.3028259981e-06,-6.24731235493e-07,6.38140747063e-10
305.17578125,5,5.60641070866,0.848104337555,-0.0090231321007,0.0018910779507,7.54153838898e-06,-6.45461886148e-07,6.40963881871e-10
315.348307292,5,5.78676887166,0.849525555454,-0.0118800388745,0.00190004556645,7.7798857936e-06,-6.66226387025e-07,6.01156780844e-10
325.520833333,5,5.96748190886,0.850899739196,-0.0147932319303,0.00190593489379,8.01788021146e-06,-6.87031744303e-07,5.44278336212e-10
335.693359375,5,6.14860579066,0.85223003757,-0.0177318116907,0.00190912911264,8.25553225223e-06,-7.07884401813e-07,4.5508606011e-10
345.865885417,5,6.33019163048,0.853519349801,-0.0206686114222,0.00191000463738,8.49285132648e-06,-7.28790244207e-07,4.69544183216e-10
356.038411458,5,6.51228579168,0.854770347026,-0.0235801689632,0.00190892405251,8.72984579864e-06,-7.49754609262e-07,3.36747900335e-10
366.2109375,5,6.69493007801,0.855985490598,-0.0264466127206,0.00190623112203,8.96652313355e-06,-7.70782309813e-07,4.05856719504e-10
376.383463542,5,6.87816195291,0.85716705012,-0.0292515084752,0.00190224751626,9.20289001191e-06,-7.91877658998e-07,3.03821748095e-10
386.555989583,5,7.06201479858,0.858317119014,-0.0319816558408,0.00189727092786,9.43895243991e-06,-8.13044500086e-07,3.63738435927e-10
396.728515625,5,7.2465181758,0.859437629094,-0.0346268791465,0.00189157387603,9.67471584198e-06,-8.34286236385e-07,3.71574519252e-10
406.901041667,5,7.43169811476,0.860530364498,-0.0371797892748,0.00188540370393,9.91018513451e-06,-8.55605864734e-07,2.75869074351e-10
417.073567708,5,7.61757737533,0.861596973511,-0.0396355578126,0.00187898276046,1.01453647998e-05,-8.77006005458e-07,2.65586165321e-10
427.24609375,5,7.80417573244,0.862638979993,-0.0419916751233,0.00187250919782,1.03802589438e-05,-8.98488935231e-07,2.49080739589e-10
437.418619792,5,7.99151022158,0.863657793961,-0.0442477336253,0.00186615799323,1.06148713438e-05,-9.20056615335e-07,2.35186241848e-10
447.591145833,5,8.17959540071,0.864654720601,-0.046405200783,0.00186008212853,1.0849205498e-05,-9.4171072182e-07,3.06051748567e-10
457.763671875,5,8.36844358217,0.865630969767,-0.0484672140043,0.00185441394745,1.10832646525e-05,-9.63452672193e-07,2.19363818257e-10
467.936197917,5,8.55806504879,0.866587662593,-0.0504383842988,0.0018492665698,1.13170518498e-05,-9.85283650311e-07,2.65818025439e-10
478.108723958,5,8.74846827365,0.867525840102,-0.0523246085392,0.00184473526295,1.15505699397e-05,-1.00720463167e-06,2.20357313798e-10
488.28125,5,8.9396601033,0.868446469047,-0.0541329005048,0.0018408988704,1.17838216125e-05,-1.02921640451e-06,2.12996103555e-10
498.453776042,5,9.1316459422,0.869350448114,-0.0558712255037,0.00183782121201,1.20168094174e-05,-1.05131959105e-06,1.80048964173e-10
50.8626302083,2.5,1.0454004192,0.77022475441,0.000980790639729,0.000210216690791,1.38401407791e-06,-1.20356171073e-07,1.4104651386e-08
61.03515625,2.5,1.23633676538,0.777882740197,0.00113866552341,0.000222404280745,1.64446672718e-06,-1.42338530294e-07,8.22312309675e-09
71.2076822917,2.5,1.42521158834,0.784381322041,0.00128162168897,0.000233257945908,1.90264941632e-06,-1.64083547884e-07,7.19423479163e-09
81.3802083333,2.5,1.61243942448,0.790027273977,0.00140979744279,0.000242715490146,2.15891666198e-06,-1.85638949108e-07,4.72962554086e-09
91.552734375,2.5,1.79833581547,0.795019502306,0.00153013761375,0.000251031240606,2.41353000812e-06,-2.07041062045e-07,4.8499361893e-09
101.725260417,2.5,1.98314471249,0.799494495121,0.00164687401104,0.000258599321565,2.66668978901e-06,-2.28317972611e-07,3.32799927966e-09
111.897786458,2.5,2.16705780171,0.803549922921,0.00175929208966,0.000265716044726,2.91855442987e-06,-2.49491749493e-07,3.26365988264e-09
122.0703125,2.5,2.35023010007,0.807258038307,0.00186395406303,0.000272522244652,3.16925251457e-06,-2.70580239676e-07,2.43419634346e-09
132.242838542,2.5,2.53279139951,0.81067378188,0.00195736772235,0.000279048445665,3.41889057031e-06,-2.91598386009e-07,2.07109135852e-09
142.415364583,2.5,2.71485369206,0.813839939635,0.00203744038433,0.000285279700727,3.66755818159e-06,-3.12559082049e-07,2.33568257406e-09
152.587890625,2.5,2.89651561941,0.816790510785,0.0021037197702,0.000291200783373,3.91533161507e-06,-3.33473684344e-07,2.1940583594e-09
162.760416667,2.5,3.07786505056,0.819552986385,0.00215692973211,0.000296814933729,4.1622764447e-06,-3.54352309184e-07,1.47487297718e-09
172.932942708,2.5,3.25898070784,0.822149928683,0.0021983199048,0.000302145917373,4.40844953532e-06,-3.75204019812e-07,1.45886884985e-09
183.10546875,2.5,3.43993330871,0.824600088428,0.00222909995698,0.000307231551588,4.65390060658e-06,-3.96036957876e-07,1.58048830718e-09
193.277994792,2.5,3.62078654079,0.826919219542,0.00225009083193,0.000312115353974,4.89867345762e-06,-4.16858455687e-07,1.01655941624e-09
203.450520833,2.5,3.80159796882,0.829120685736,0.00226157447019,0.000316839171902,5.14280693556e-06,-4.37675140628e-07,1.04271177273e-09
213.623046875,2.5,3.98241984301,0.83121591757,0.00226330083455,0.000321438825942,5.38633572702e-06,-4.58493028228e-07,9.92924674845e-10
223.795572917,2.5,4.16329989198,0.833214768079,0.00225459836794,0.000325941822507,5.62929097516e-06,-4.79317613447e-07,8.24500872434e-10
233.968098958,2.5,4.34428199778,0.835125788483,0.0022345053876,0.000330367169812,5.87170079358e-06,-5.00153948393e-07,9.9705932845e-10
244.140625,2.5,4.52540678902,0.836956449198,0.00220192746078,0.000334726434093,6.11359066595e-06,-5.21006710606e-07,8.45787507653e-10
254.313151042,2.5,4.70671213505,0.838713313342,0.0021557545196,0.000339025041002,6.35498379659e-06,-5.41880259959e-07,8.53400650921e-10
264.485677083,2.5,4.88823355083,0.840402180594,0.00209495414877,0.00034326426967,6.59590137309e-06,-5.6277868526e-07,8.41160045511e-10
274.658203125,2.5,5.07000452172,0.842028202177,0.00201863494576,0.000347442690527,6.8363627996e-06,-5.83705841656e-07,7.51787866165e-10
284.830729167,2.5,5.25205675295,0.843595974928,0.00192607470348,0.000351557582412,7.0763858952e-06,-6.04665379345e-07,6.99906116372e-10
295.003255208,2.5,5.43442036024,0.845109619395,0.00181672253323,0.000355605967944,7.31598705894e-06,-6.25660765528e-07,5.32951294922e-10
305.17578125,2.5,5.61712402921,0.846572844946,0.00169018844979,0.000359585341969,7.55518140903e-06,-6.46695302758e-07,5.88509452377e-10
315.348307292,2.5,5.8001951311,0.847989003971,0.00154622056,0.000363494083584,7.79398290453e-06,-6.67772142266e-07,5.3908575853e-10
325.520833333,2.5,5.98365981197,0.849361135954,0.00138467117437,0.000367331652257,8.032404465e-06,-6.88894294229e-07,5.50560502349e-10
335.693359375,2.5,6.16754306741,0.850692007082,0.00120546506041,0.000371098624401,8.27045805404e-06,-7.1006463637e-07,4.72231014188e-10
345.865885417,2.5,6.35186881123,0.851984141828,0.00100856932507,0.000374796664986,8.5081547722e-06,-7.31285921869e-07,3.82197113621e-10
356.038411458,2.5,6.53665992543,0.853239851234,0.000793964778385,0.000378428260248,8.74550492689e-06,-7.52560785113e-07,4.11475519497e-10
366.2109375,2.5,6.72193831305,0.854461256063,0.000561622322483,0.000381996586871,8.98251810597e-06,-7.73891747783e-07,3.1970301727e-10
376.383463542,2.5,6.90772494508,0.855650307898,0.000311483700048,0.000385505294031,9.21920323207e-06,-7.95281224252e-07,2.96574973939e-10
