grid,degree,mode_count,eigenvalue_relative_error_mean,eigenvalue_relative_error_max_abs,wavenumber_relative_error_mean,wavenumber_relative_error_max_abs,eigenfunction_residual_mean,eigenfunction_residual_max
native-l6,48,3,-0.0516896222767,0.0526761382744,-0.0261879725228,0.0266943636629,0.00763702082517,0.00850719414345
native-l6,49,3,-0.0538421816656,0.0548150855743,-0.02729381703,0.0277937901732,0.00831095844043,0.0101764574001
native-l6,50,3,-0.056001480335,0.0571052218005,-0.0284044065205,0.0289723082221,0.00827989334013,0.00973783122069
native-l6,51,3,-0.0580735130978,0.0592088230389,-0.0294713795484,0.030056095972,0.00885294713525,0.0110888346458
native-l6,52,3,-0.0602776379119,0.0614630183,-0.0306076052856,0.0312188163986,0.00870550771833,0.0102855498695
native-l6,53,3,-0.0625207237326,0.0637550266848,-0.0317652845266,0.0324024734864,0.00916646940118,0.0113047378309
native-l6,54,3,-0.0648801040272,0.0660845388841,-0.032984425764,0.0336069841333,0.0089018786438,0.0101445777875
native-l6,55,3,-0.0672390720486,0.0687060329669,-0.0342049237492,0.0349642664475,0.00945941423085,0.0114616372933
native-l6,56,3,-0.0695694752129,0.0708548143363,-0.0354121929104,0.0360782263774,0.00942009710813,0.0109585519428
native-l6,57,3,-0.072000912136,0.0732949359915,-0.0366733750784,0.0373447844589,0.0101314515964,0.0127184084739
native-l6,58,3,-0.0743877504959,0.0757712783848,-0.037913093175,0.0386318490738,0.0100235596666,0.0120180080832
native-l6,59,3,-0.0768632699616,0.0782835095844,-0.0392005212521,0.0399393298257,0.0105185756979,0.0131238604153
native-l6,60,3,-0.0793432074796,0.0808729414451,-0.0404920059947,0.0412888555175,0.0102399750201,0.0119142003741
native-l6,61,3,-0.0819141678049,0.0834142890252,-0.0418326828679,0.0426151709084,0.0107998555097,0.0132020870767
native-l6,62,3,-0.0845824079848,0.0860321519434,-0.0432260220175,0.0439833432118,0.010744551271,0.0126498564779
native-l6,63,3,-0.08714054836,0.0886845331512,-0.0445638969481,0.0453715556046,0.0114249436686,0.0143024428259
native-l6,64,3,-0.0897968710794,0.0913710796448,-0.0459550488645,0.0467797104786,0.0113670427119,0.0137379285893
native-l6,65,3,-0.0924155639901,0.0943364199895,-0.0473285564945,0.048336414477,0.0119887372912,0.0152211648585
native-l6,66,3,-0.0951192114724,0.0968452364563,-0.048748643139,0.04965545009,0.0117437744539,0.0140800547182
native-l6,67,3,-0.0978775434459,0.0996321209523,-0.0501996252207,0.0511228324763,0.0122837553716,0.0153028499628
native-l6,68,3,-0.100612071812,0.102451719228,-0.0516403379214,0.0526097526511,0.0120726662527,0.0142704349561
native-l6,69,3,-0.103498936579,0.10530365888,-0.0531635575641,0.0541161058986,0.0127977621725,0.0160446325116
native-l6,70,3,-0.106354365402,0.108327880513,-0.0546726743545,0.0557160811031,0.0127473918977,0.0154992923043
native-l6,71,3,-0.109261946953,0.111103054413,-0.0562118075162,0.0571866857184,0.0134021309922,0.0170499658761
native-l6,72,3,-0.112087773481,0.114049747424,-0.057710203139,0.0587506958428,0.0132282192222,0.0161216673782
native-l6,73,3,-0.114971190991,0.117027256212,-0.0592415700686,0.0603337061552,0.0137476611871,0.0172717268715
native-l6,74,3,-0.118016511549,0.120035190748,-0.0608614687312,0.0619356049544,0.0136289117008,0.0165055707175
native-l6,75,3,-0.121022667228,0.123347677815,-0.0624633715094,0.0637028665083,0.0142444124639,0.0179499755301
native-l6,76,3,-0.124093077718,0.126140760495,-0.0641022857454,0.0651956143101,0.0141088796777,0.0171209868686
native-l6,77,3,-0.127097901195,0.129237599426,-0.0657091033608,0.0668534945821,0.0148728040457,0.0189983074446
