grid,degree,tm_eigenvalue_error,te_eigenvalue_error,tm_wavenumber_error,te_wavenumber_error,tm_residual,te_residual,polarization_splitting
native-l7,18,-0.00194533510168,-0.00044554768403,-0.000973141052592,-0.000222798661637,0.0101483257785,0.396444812012,0.00149978741764
native-l7,19,-0.00216304789521,-0.000516117692738,-0.00108210942801,-0.000258092152149,0.00997693340061,0.382157959266,0.00164693020247
native-l7,20,-0.00239557825853,-0.000580863440297,-0.00119850733919,-0.000290473907694,0.0110844074774,0.370137138784,0.00181471481823
native-l7,21,-0.00263296179108,-0.000669133101411,-0.00131734859921,-0.000334622536827,0.0096980201912,0.3575949164,0.00196382868967
native-l7,22,-0.00288514175162,-0.000751576404287,-0.00144361288489,-0.000375858837076,0.00958349525191,0.346960530092,0.00213356534733
native-l7,23,-0.00314878919925,-0.000837976242456,-0.00157563591389,-0.000419075933547,0.00948216507297,0.337235556961,0.00231081295679
native-l7,24,-0.00342389293295,-0.00092833255337,-0.00171341436086,-0.000464274051883,0.00939211320187,0.328307192523,0.00249556037958
native-l7,25,-0.00366716609599,-0.00106669802098,-0.00183526715075,-0.000533491316981,0.00870568104977,0.320092160132,0.00260046807501
native-l7,26,-0.00400842320267,-0.00112091473265,-0.00200622406884,-0.00056061451064,0.00923994763819,0.312474345531,0.00288750847002
native-l7,27,-0.00431782606599,-0.00122314061906,-0.0021612485306,-0.000611757433107,0.00917553353673,0.305420389825,0.00309468544693
native-l7,28,-0.00463863785353,-0.00132932291517,-0.00232201480314,-0.000664882491948,0.0091176859887,0.298859443672,0.00330931493836
native-l7,29,-0.00497084604607,-0.00143946138944,-0.00248851938741,-0.000719989887441,0.00906567712618,0.292740602336,0.00353138465663
native-l7,30,-0.00533643303883,-0.00153050360417,-0.00267178573893,-0.000765544831529,0.00991184774673,0.285656037653,0.00380592943466
native-l7,31,-0.00566940011415,-0.00167160531283,-0.00283872924895,-0.000836152231693,0.00897679864585,0.281658471801,0.00399779480132
native-l7,32,-0.00603571947116,-0.00179360966486,-0.00302242726888,-0.000897207322919,0.00893895019532,0.276623167735,0.0042421098063
native-l7,33,-0.00641338218091,-0.00191956801035,-0.00321184907771,-0.000960245040446,0.00890495387896,0.271884320929,0.00449381417056
native-l7,34,-0.00680237419857,-0.00204947950881,-0.00340699089276,-0.00102526533891,0.00887447006289,0.267415896199,0.00475289468976
native-l7,35,-0.00715259367163,-0.00223361947061,-0.00358271475834,-0.00111743406475,0.00857145874923,0.264092113024,0.00491897420102
native-l7,36,-0.0076142883456,-0.00232115810004,-0.00381441906922,-0.00116125330464,0.00882289080554,0.259200663165,0.00529313024556
native-l7,37,-0.00803718073744,-0.00246292303469,-0.00402669751516,-0.00123222070127,0.00880130698099,0.255415092658,0.00557425770275
native-l7,38,-0.00847134295344,-0.00260863682184,-0.00424468013143,-0.00130517014547,0.00878224908179,0.251821776953,0.00586270613161
native-l7,39,-0.00891675927465,-0.00275829819089,-0.00446836277025,-0.00138010143543,0.00876553848376,0.248406038253,0.00615846108377
native-l7,40,-0.00937533763403,-0.00290510599301,-0.00469870774425,-0.00145360948678,0.00936929847363,0.244898118264,0.00647023164102
native-l7,41,-0.00984128962328,-0.00306945827259,-0.00493281112444,-0.00153590864398,0.00873854233814,0.242055716143,0.00677183135069
native-l7,42,-0.0103203704713,-0.00323095413937,-0.0051735681393,-0.00161678406504,0.00872798979413,0.239098400057,0.00708941633195
native-l7,43,-0.0108106390613,-0.00339639190462,-0.00542000777279,-0.00169964034096,0.00871924648461,0.236272910172,0.00741424715671
native-l7,44,-0.0113120779195,-0.00356577001818,-0.00567212546338,-0.00178447718851,0.00871221168878,0.233570327528,0.0077463079013
native-l7,45,-0.0117679830151,-0.0037967330683,-0.00590140479686,-0.0019001718607,0.008405310813,0.231280600076,0.00797124994684
native-l7,46,-0.01234839476,-0.00391634086416,-0.0061933763352,-0.00196009141125,0.00870291552628,0.228502052651,0.00843205389582
native-l7,47,-0.0128832360061,-0.00409753027702,-0.00646249995589,-0.00205086816863,0.00870050006958,0.226122121831,0.00878570572909
native-l7,48,-0.0134291740459,-0.00428265340233,-0.00673728251075,-0.00214362426366,0.00869948301112,0.223836481645,0.00914652064355
native-l7,49,-0.0139861896107,-0.00447170848056,-0.00701771899532,-0.00223835936661,0.0086998051314,0.2216393912,0.00951448113018
