frequency_hz,model,attenuation_db_per_mm,phase_velocity_fraction_c,beta_real,beta_imag,eigen_residual,bannister_attenuation_db_per_mm,bannister_phase_velocity_fraction_c
467.936197917,pec,8.21375580299,0.873841605576,1.12231066218e-05,-9.45643583473e-07,9.25518622698e-14,8.16514928212,0.880417641049
478.108723958,pec,8.39666876392,0.874780726857,1.14547767034e-05,-9.6670221633e-07,7.81486161913e-14,8.33049408167,0.881419868455
488.28125,pec,8.58012343386,0.875702067693,1.16861871735e-05,-9.87823215743e-07,7.99927800084e-14,8.49562516943,0.88240178928
498.453776042,pec,8.76413085486,0.876606395587,1.19173424977e-05,-1.00900785297e-06,7.1794345072e-14,8.66054768812,0.883364227476
50.8626302083,bulk,1.05614733383,0.780231836016,1.36626301831e-06,-1.21593455344e-07,5.00926657536e-12,1.04971343976,0.780880649359
61.03515625,bulk,1.2392784946,0.787859124201,1.62364342128e-06,-1.42677209387e-07,2.96330728765e-12,1.24068118385,0.788802592412
71.2076822917,bulk,1.42081427134,0.794318092419,1.87884762893e-06,-1.63577288055e-07,1.9523075818e-12,1.42930087024,0.795531989764
81.3802083333,bulk,1.60081202406,0.799933952054,2.13217983913e-06,-1.84300295165e-07,2.38673827827e-12,1.6159621862,0.801385337164
91.552734375,bulk,1.77928376953,0.804903698876,2.38389192215e-06,-2.04847614197e-07,1.463138062e-12,1.80094920858,0.806567416068
101.725260417,bulk,1.9563100228,0.809357562226,2.63419273015e-06,-2.25228514789e-07,1.317766812e-12,1.98447766524,0.811218439767
111.897786458,bulk,2.13204284526,0.813388170929,2.88325337272e-06,-2.45460503656e-07,7.44863771872e-13,2.16671660863,0.815438670079
122.0703125,bulk,2.30667673997,0.817065086139,3.13121269188e-06,-2.6556597379e-07,9.55066780107e-13,2.34780185858,0.819302308791
132.242838542,bulk,2.48041956106,0.820442512549,3.37818300011e-06,-2.85568855283e-07,5.78794571454e-13,2.52784477021,0.822865826849
142.415364583,bulk,2.65347255228,0.823563730005,3.62425544055e-06,-3.05492317178e-07,6.13364986086e-13,2.70693818925,0.826173208048
152.587890625,bulk,2.82601941357,0.826463869306,3.86950455856e-06,-3.2535750871e-07,6.10200423118e-13,2.88516063429,0.829259385378
162.760416667,bulk,2.99822176224,0.829171789391,4.11399197858e-06,-3.45183036761e-07,5.45024169712e-13,3.06257931757,0.832152569967
172.932942708,bulk,3.17021841224,0.831711422269,4.3577692623e-06,-3.64984882878e-07,4.79904805186e-13,3.23925237921,0.834875875287
183.10546875,bulk,3.34212663852,0.834102774561,4.60088009387e-06,-3.84776548838e-07,4.03360889299e-13,3.41523057435,0.837448478134
193.277994792,bulk,3.51404431041,0.8363626919,4.84336194285e-06,-4.04569302264e-07,2.89965857263e-13,3.59055856996,0.839886466501
203.450520833,bulk,3.68605228653,0.838505451785,5.08524733374e-06,-4.24372452348e-07,3.62881499378e-13,3.7652759576,0.842203470552
213.623046875,bulk,3.85821677295,0.84054322874,5.32656482211e-06,-4.44193621347e-07,4.42793101456e-13,3.93941805539,0.844411140122
223.795572917,bulk,4.03059151662,0.842486462783,5.56733975146e-06,-4.64038997106e-07,3.87652243377e-13,4.1130165511,0.846519511465
233.968098958,bulk,4.2032197902,0.844344153824,5.80759484479e-06,-4.83913561574e-07,3.19604779124e-13,4.28610002351,0.848537292766
244.140625,bulk,4.3761361627,0.846124098837,6.04735066955e-06,-5.03821294657e-07,2.95143598203e-13,4.45869436957,0.85047208909
254.313151042,bulk,4.5493680647,0.847833084439,6.28662600469e-06,-5.23765354416e-07,5.39138251294e-13,4.63082315738,0.852330581578
264.485677083,bulk,4.72293716136,0.849477044447,6.52543813062e-06,-5.43748235144e-07,3.13277764087e-13,4.80250792058,0.854118671629
274.658203125,bulk,4.8968605469,0.85106118966,6.76380305848e-06,-5.63771904888e-07,1.47492612328e-13,4.97376840545,0.855841597977
284.830729167,bulk,5.07115177395,0.852590115454,7.00173571101e-06,-5.83837923951e-07,2.30782484178e-13,5.14462278011,0.857504032558
295.003255208,bulk,5.24582173053,0.854067891459,7.23925006514e-06,-6.03947545861e-07,1.58997805014e-13,5.31508781254,0.859110159626
