frequency_hz,azimuth_deg,attenuation_db_per_mm,beta_rad_per_m,phase_velocity_fraction_c,amplitude_residual_rms,phase_residual_rms_rad,complex_residual_rms,bannister_attenuation_db_per_mm,bannister_phase_velocity_fraction_c
386.555989583,30,7.05356805581,9.54098138025e-06,0.849138483962,0.0122268154382,0.0105318329822,0.0161617878972,6.83399161096,0.871549670954
396.728515625,30,7.13024315558,9.7959694359e-06,0.848799590464,0.0299926403859,0.0146783182276,0.0334657092213,7.00126430373,0.872751628529
406.901041667,30,7.43199113533,1.00588035999e-05,0.847816058976,0.0131867773149,0.0419817845488,0.0440263572959,7.16827177176,0.873924269402
417.073567708,30,7.86161097222,1.02874073378e-05,0.849700543555,0.0380042892622,0.0222052945097,0.0440539840485,7.33502167606,0.875069018877
427.24609375,30,7.856060147,1.05018737477e-05,0.852649365482,0.0222619955513,0.0371350557995,0.043381266541,7.5015212746,0.876187200189
437.418619792,30,7.79999274835,1.07709145545e-05,0.851145584865,0.0612065689883,0.0239857528347,0.0661117943526,7.66777745263,0.877280044044
447.591145833,30,8.15380411196,1.10529989325e-05,0.848712354529,0.0672107612255,0.088502951433,0.110966606264,7.83379675002,0.878348697075
457.763671875,30,8.92203383523,1.12916924453e-05,0.849652713776,0.130423066919,0.120500821292,0.182079722962,7.99958538611,0.879394229348
467.936197917,30,8.76685992386,1.14456807629e-05,0.85684877231,0.0662973567028,0.159530768107,0.17519586553,8.16514928212,0.880417641049
478.108723958,30,8.45313316853,1.17316380701e-05,0.854136296286,0.176311448289,0.0753161315514,0.192480195478,8.33049408167,0.881419868455
488.28125,30,8.56278888067,1.20412699877e-05,0.849878649155,0.159545995326,0.194559737009,0.253649959519,8.49562516943,0.88240178928
498.453776042,30,9.46094402248,1.24114376667e-05,0.841708989113,0.128763163636,0.394765572961,0.41967179389,8.66054768812,0.883364227476
50.8626302083,60,1.01519114941,1.38362081844e-06,0.77044367145,0.00258464069821,0.00206937381552,0.00330973947067,1.04971343976,0.780880649359
61.03515625,60,1.20539567081,1.64296544015e-06,0.778593543507,0.000896705248033,0.00222284840831,0.00239733790691,1.24068118385,0.788802592412
71.2076822917,60,1.39070824835,1.89993144729e-06,0.785503427867,0.00244949243555,0.00115574010852,0.00270956876322,1.42930087024,0.795531989764
81.3802083333,60,1.57163294432,2.15505718216e-06,0.791442129392,0.000530253964957,0.00227007082756,0.00233095999046,1.6159621862,0.801385337164
91.552734375,60,1.74675891432,2.4091995829e-06,0.796448513224,0.00108109311108,0.00145691741954,0.00181408162161,1.80094920858,0.806567416068
101.725260417,60,1.92402181062,2.6624991192e-06,0.800752868288,0.00128485426733,0.00107828870536,0.00167731883217,1.98447766524,0.811218439767
111.897786458,60,2.10375480971,2.91461165273e-06,0.804636935066,0.00135670411163,0.000542708080266,0.00146110835174,2.16671660863,0.815438670079
122.0703125,60,2.28167032721,3.16504371966e-06,0.808331509585,0.0011391498267,0.00117156910892,0.00163408247784,2.34780185858,0.819302308791
132.242838542,60,2.45059420764,3.41514533138e-06,0.811562811983,0.00134846892573,0.000669740436173,0.00150576790073,2.52784477021,0.822865826849
142.415364583,60,2.62523273932,3.6653495268e-06,0.814330340747,0.0012800741092,0.000416192097742,0.0013462795402,2.70693818925,0.826173208048
152.587890625,60,2.80538548537,3.91447170502e-06,0.816969938923,0.0014976401677,0.00061366193682,0.00161891296844,2.88516063429,0.829259385378
162.760416667,60,2.98454862792,4.16231613857e-06,0.81954517073,0.00259151046328,0.000563261061361,0.00265313106031,3.06257931757,0.832152569967
172.932942708,60,3.15703077025,4.40981382929e-06,0.821895574592,0.00262811147536,0.00144315519579,0.00300019669714,3.23925237921,0.834875875287
183.10546875,60,3.3331195608,4.65757701008e-06,0.82394920007,0.00205907320386,0.00123290239972,0.00239930793653,3.41523057435,0.837448478134
193.277994792,60,3.51508983269,4.90463472219e-06,0.825914153004,0.00234902816558,0.0020671754479,0.00312945351895,3.59055856996,0.839886466501
203.450520833,60,3.69833943597,5.15072727506e-06,0.827845736206,0.00445576120548,0.000725297817981,0.00451877487435,3.7652759576,0.842203470552
213.623046875,60,3.87742465408,5.396078654e-06,0.829715109943,0.003483982268,0.00268207091582,0.00440025552536,3.93941805539,0.844411140122
223.795572917,60,4.05172673588,5.64166759739e-06,0.831386871586,0.00220931980364,0.000603122332172,0.00229230005997,4.1130165511,0.846519511465
233.968098958,60,4.23307833083,5.88796870907e-06,0.832818412811,0.00411853710419,0.0025460403904,0.00484380438018,4.28610002351,0.848537292766
244.140625,60,4.42754480181,6.13298320114e-06,0.834309987133,0.00541290815212,0.00274971751421,0.00607443971363,4.45869436957,0.85047208909
254.313151042,60,4.61189103263,6.37605951436e-06,0.835940992124,0.00436019222997,0.00142035871213,0.00458792862289,4.63082315738,0.852330581578
264.485677083,60,4.77981569937,6.62037013015e-06,0.837296070756,0.00499924045831,0.00101840689699,0.00509945045594,4.80250792058,0.854118671629
274.658203125,60,4.9642328854,6.8669738026e-06,0.838274681549,0.00410527875367,0.00482342585687,0.00632817558339,4.97376840545,0.855841597977
284.830729167,60,5.17535434267,7.1110626098e-06,0.839482224499,0.00592194820712,0.00463267734548,0.00751509325981,5.14462278011,0.857504032558
295.003255208,60,5.36290533971,7.35191272794e-06,0.840979928309,0.00908020321639,0.00193591465873,0.0092976619045,5.31508781254,0.859110159626
305.17578125,60,5.52530341341,7.59557457541e-06,0.842070781615,0.00509821368385,0.00647340851612,0.00825188417038,5.48517902309,0.860663741506
315.348307292,60,5.71243424068,7.84235854182e-06,0.842758178542,0.00649518982719,0.00516796618691,0.00830208217092,5.65491081585,0.862168173618
325.520833333,60,5.93473204822,8.08666179253e-06,0.843662361042,0.00883061405805,0.0126033152728,0.0153811086265,5.82429659239,0.863626530797
335.693359375,60,6.14046704922,8.32594347536e-06,0.845022859248,0.0175948547564,0.0052297369289,0.0183942789197,5.99334885069,0.865041606521
345.865885417,60,6.29517550971,8.56677877512e-06,0.846153861611,0.00676123595348,0.0128847613258,0.0145519555644,6.16207927169,0.866415946307
356.038411458,60,6.45521602399,8.81471485026e-06,0.84654052338,0.0120925679331,0.0118856045104,0.0169502129068,6.3304987951,0.867751876285
366.2109375,60,6.69816531091,9.06428581895e-06,0.846753275078,0.0160715316831,0.0209513102339,0.0264310115,6.49861768636,0.869051527772
376.383463542,60,6.97499651238,9.30008352047e-06,0.848208950675,0.0261032257691,0.0115928039667,0.0285969870314,6.66644559576,0.870316858486
386.555989583,60,7.08502295087,9.53178570599e-06,0.849957679981,0.00806617147352,0.0154332644821,0.0173998501563,6.83399161096,0.871549670954
396.728515625,60,7.16267273373,9.78691988982e-06,0.849584439129,0.020380396697,0.0101309189985,0.0226534124859,7.00126430373,0.872751628529
406.901041667,60,7.47662076827,1.0049175187e-05,0.848628376696,0.0105627903773,0.0395908253039,0.0408615085898,7.16827177176,0.873924269402
417.073567708,60,7.91154697206,1.02749297082e-05,0.850732399631,0.0537167862343,0.0148861764321,0.0554206660546,7.33502167606,0.875069018877
427.24609375,60,7.88494044494,1.04887693867e-05,0.853714640605,0.0270477149894,0.046596616952,0.0540307885013,7.5015212746,0.876187200189
437.418619792,60,7.83525663,1.0759009827e-05,0.852087368208,0.0503840730379,0.0326321771598,0.0597653422565,7.66777745263,0.877280044044
447.591145833,60,8.20914960651,1.10405635493e-05,0.849668289731,0.0535571569832,0.0876663300836,0.102203832026,7.83379675002,0.878348697075
